EventName,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
Bahrain Grand Prix,2024-03-02 14:06:41,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,1.0
Bahrain Grand Prix,2024-03-02 14:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
Bahrain Grand Prix,2024-03-02 14:30:01,Other,PIT EXIT CLOSED,,,,,,1.0
Bahrain Grand Prix,2024-03-02 14:45:29,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1.0
Bahrain Grand Prix,2024-03-02 14:57:04,Drs,DRS DISABLED,DISABLED,,,,,1.0
Bahrain Grand Prix,2024-03-02 15:03:42,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
Bahrain Grand Prix,2024-03-02 15:03:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,1.0
Bahrain Grand Prix,2024-03-02 15:04:03,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1.0
Bahrain Grand Prix,2024-03-02 15:04:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,1.0
Bahrain Grand Prix,2024-03-02 15:04:36,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1.0
Bahrain Grand Prix,2024-03-02 15:05:23,Drs,DRS ENABLED,ENABLED,,,,,2.0
Bahrain Grand Prix,2024-03-02 15:05:38,CarEvent,CAR 18 (STR) SPUN AND CONTINUED AT TURN 1,,,,,18.0,2.0
Bahrain Grand Prix,2024-03-02 15:05:44,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,2.0
Bahrain Grand Prix,2024-03-02 15:05:55,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,2.0
Bahrain Grand Prix,2024-03-02 15:06:43,Other,TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NOTED - CAUSING A COLLISION,,,,,,2.0
Bahrain Grand Prix,2024-03-02 15:08:42,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,,4.0
Bahrain Grand Prix,2024-03-02 15:11:18,Other,CAR 4 (NOR) TIME 1:37.787 DELETED - TRACK LIMITS AT TURN 15 LAP 3 18:08:35,,,,,,5.0
Bahrain Grand Prix,2024-03-02 15:11:19,Other,CAR 4 (NOR) TIME 1:37.450 DELETED - TRACK LIMITS AT TURN 15 (NEXT LAP),,,,,,5.0
Bahrain Grand Prix,2024-03-02 15:13:05,Other,CAR 16 (LEC) TIME 1:37.752 DELETED - TRACK LIMITS AT TURN 10 LAP 4 18:09:29,,,,,,6.0
Bahrain Grand Prix,2024-03-02 15:19:07,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,10.0
