EventName,Time,Status
Bahrain Grand Prix,0 days 00:00:09.193000,Inactive
Bahrain Grand Prix,0 days 00:59:59.911000,Started
Bahrain Grand Prix,0 days 02:31:44.878000,Finished
Bahrain Grand Prix,0 days 02:36:15.245000,Finalised
Bahrain Grand Prix,0 days 02:36:15.245000,Ends
Saudi Arabian Grand Prix,0 days 00:00:11.745000,Inactive
Saudi Arabian Grand Prix,0 days 00:59:43.836000,Started
Saudi Arabian Grand Prix,0 days 02:20:27.332000,Finished
Saudi Arabian Grand Prix,0 days 02:25:11.339000,Finalised
Saudi Arabian Grand Prix,0 days 02:25:11.339000,Ends
Australian Grand Prix,0 days 00:00:11.132000,Inactive
Australian Grand Prix,0 days 00:58:29.232000,Started
Australian Grand Prix,0 days 02:18:56.262000,Finished
Australian Grand Prix,0 days 02:23:19.503000,Finalised
Australian Grand Prix,0 days 02:38:17.180000,Ends
Japanese Grand Prix,0 days 00:00:04.725000,Inactive
Japanese Grand Prix,0 days 01:02:40.422000,Started
Japanese Grand Prix,0 days 01:03:22.840000,Aborted
Japanese Grand Prix,0 days 01:30:58.774000,Started
Japanese Grand Prix,0 days 02:57:04.188000,Finished
