Year,Time,Status
2018,0 days 00:00:03.538000,Inactive
2018,0 days 00:15:00.099000,Started
2018,0 days 00:33:00.094000,Finished
2018,0 days 00:38:12.259000,Inactive
2018,0 days 00:40:00.095000,Started
2018,0 days 00:55:00.115000,Finished
2018,0 days 01:01:30.037000,Inactive
2018,0 days 01:03:00.090000,Started
2018,0 days 01:15:00.111000,Finished
2018,0 days 01:19:19.602000,Finalised
2018,0 days 01:24:16.582000,Ends
2019,0 days 00:00:03.963000,Inactive
2019,0 days 00:14:59.206000,Started
2019,0 days 00:32:59.745000,Finished
2019,0 days 00:38:11.554000,Inactive
2019,0 days 00:39:59.240000,Started
2019,0 days 00:54:59.272000,Finished
2019,0 days 01:01:09.691000,Inactive
2019,0 days 01:02:59.233000,Started
2019,0 days 01:14:59.259000,Finished
