Year,DriverName,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2018,HAM,2018-09-16 12:13:35.507,9426,0,1,25,False,1,car,0 days 00:00:00.075000,0 days 00:18:35.409000
2018,HAM,2018-09-16 12:13:35.708,9285,0,1,25,False,1,car,0 days 00:00:00.276000,0 days 00:18:35.610000
2018,HAM,2018-09-16 12:13:35.947,7605,3,1,25,False,1,car,0 days 00:00:00.515000,0 days 00:18:35.849000
2018,HAM,2018-09-16 12:13:36.187,5925,19,1,25,False,1,car,0 days 00:00:00.755000,0 days 00:18:36.089000
2018,HAM,2018-09-16 12:13:36.427,4288,23,1,25,False,1,car,0 days 00:00:00.995000,0 days 00:18:36.329000
2018,HAM,2018-09-16 12:13:36.667,4332,31,1,25,False,1,car,0 days 00:00:01.235000,0 days 00:18:36.569000
2018,HAM,2018-09-16 12:13:36.907,5360,47,1,45,False,1,car,0 days 00:00:01.475000,0 days 00:18:36.809000
2018,HAM,2018-09-16 12:13:37.108,6570,51,1,51,False,1,car,0 days 00:00:01.676000,0 days 00:18:37.010000
2018,HAM,2018-09-16 12:13:37.348,7741,65,1,57,False,1,car,0 days 00:00:01.916000,0 days 00:18:37.250000
2018,HAM,2018-09-16 12:13:37.587,8983,74,1,70,False,1,car,0 days 00:00:02.155000,0 days 00:18:37.489000
2018,HAM,2018-09-16 12:13:37.827,10405,83,1,75,False,1,car,0 days 00:00:02.395000,0 days 00:18:37.729000
2018,HAM,2018-09-16 12:13:38.067,11938,94,1,78,False,1,car,0 days 00:00:02.635000,0 days 00:18:37.969000
2018,HAM,2018-09-16 12:13:38.268,12435,104,1,81,False,1,car,0 days 00:00:02.836000,0 days 00:18:38.170000
2018,HAM,2018-09-16 12:13:38.507,11315,119,1,90,False,1,car,0 days 00:00:03.075000,0 days 00:18:38.409000
2018,HAM,2018-09-16 12:13:38.787,12988,138,2,100,False,1,car,0 days 00:00:03.355000,0 days 00:18:38.689000
2018,HAM,2018-09-16 12:13:39.027,11728,154,2,100,False,1,car,0 days 00:00:03.595000,0 days 00:18:38.929000
2018,HAM,2018-09-16 12:13:39.267,12531,159,3,100,False,1,car,0 days 00:00:03.835000,0 days 00:18:39.169000
2018,HAM,2018-09-16 12:13:39.507,12175,177,3,100,False,1,car,0 days 00:00:04.075000,0 days 00:18:39.409000
2018,HAM,2018-09-16 12:13:39.746,11569,185,4,100,False,1,car,0 days 00:00:04.314000,0 days 00:18:39.648000
2018,HAM,2018-09-16 12:13:39.947,12093,190,4,100,False,1,car,0 days 00:00:04.515000,0 days 00:18:39.849000
